date,attacking_side,target_country,target_name,target_type,status,notes;;
2026-02-28,US/Israel,Iran,Natanz Nuclear Facility,Nuclear,Damaged/Destroyed,2025 strikes already hit; further degraded;
2026-02-28,US/Israel,Iran,Bandar Abbas Naval Base,Naval base,Heavily damaged,Multiple ships sunk at dock;;
2026-02-28,US/Israel,Iran,Konarak Naval Base,Naval base,Heavily damaged,Multiple ships sunk at dock;;
2026-02-28,US/Israel,Iran,Khamenei compound Tehran,Leadership,Destroyed,Supreme Leader Khamenei killed;;
2026-02-28,US/Israel,Iran,IRGC Headquarters,Military command,Largely destroyed,Trump statement;;
2026-02-28,Iran,Bahrain,Al-Jufair Naval Base,US military base,Damaged,Two AN/GSC-52B SATCOM radar domes destroyed by Shahed-2 drones;;
2026-02-28,Iran,UAE,Al-Dhafra Air Base,US/UAE military base,Damaged,SATCOM antenna area struck; GlobalEye AEW&C aircraft destroyed;
2026-02-28,Iran,Kuwait,Ali Al Salem Air Base,US military base,Damaged,Structures and SATCOM systems damaged;;
2026-02-28,Iran,Kuwait,Camp Arifjan,US military base,Damaged,At least 3 radar domes destroyed;;
2026-02-28,Iran,Bahrain,Seef Commercial District Manama,Civilian commercial,Damaged,Iranian drone attack;;
2026-02-28,Iran,Azerbaijan,Nakhchivan Airport,Civilian airport,Damaged,Two Iranian drones; 2 civilians injured;
2026-03-01,Iran,Iraq,PMF Headquarters Jurf al-Nasr,Paramilitary HQ,Struck,At least 2 killed in raid;;
2026-03-01,Iran,Iraq,Erbil International Airport,Airport,Damaged,Smoke seen near airport;;
2026-03-02,Iran,Kuwait,US Embassy Kuwait City,Diplomatic,Struck,Closed indefinitely; no casualties;
2026-03-12,Iran,Saudi Arabia,Prince Sultan Air Base,US military base,Damaged,Multiple KC-135s damaged; E-3 AWACS destroyed; 15+ US soldiers injured
2026-03-15,Iran,Gulf States,Desalination plants,Water infrastructure,Struck,99% of drinking water in Kuwait and Qatar; humanitarian crisis fears;
2026-03-21,Iran,Saudi Arabia,Dubai International Airport,Civilian airport,Damaged,Emirates A380 and Saudia A321 hit while parked;;
2026-03-27,Iran,Iraq,Victory Base Baghdad,US military base,Damaged,AN/MPQ-64 radar and UH-60 Black Hawk struck by FPV drones;;
2026-03-27,US/Israel,Iran,Shahid Khondab Heavy Water Complex Arak,Nuclear,Damaged,Israeli airstrike confirmed;;
2026-03-27,US/Israel,Iran,Ardakan Yellowcake Plant Yazd,Nuclear,Damaged,Israeli airstrike confirmed;;
2026-04-06,US/Israel,Iran,Tehran Mehrabad Airport,Airport/Military,Struck,Two C-130s and cargo aircraft destroyed;;
2026-04-06,US/Israel,Iran,Kerman Airport,Military airport,Struck,C-130H and P-3F Orion destroyed; CENTCOM video footage;
2026-04-07,US/Israel,Iran,Kharg Island Oil Terminal,Energy infrastructure,Threatened,Trump threatened strikes; ceasefire announced Apr 8 before strike;
