market,indicator,signal,avg_daily_return_percent
EUR/USD,MA,Bearish,0.06930076962718272
EUR/USD,MA,Bullish,-0.010090534049715407
EUR/USD,EMA,Bearish,0.010617796851334769
EUR/USD,EMA,Bullish,0.033271457407554286
Gold,MA,Bearish,0.10120287618938877
Gold,MA,Bullish,0.16707346217202243
Gold,EMA,Bearish,0.04189684258095496
Gold,EMA,Bullish,0.1667967729635632
Oil,MA,Bearish,-0.008260429056699499
Oil,MA,Bullish,0.42039236648563116
Oil,EMA,Bearish,-0.018844558125052133
Oil,EMA,Bullish,0.4296331594162771
